date;PC1;PC2;PC3
2016-11-07T13:00:00Z;-7,371855e-03;-0,50381818;-0,277362416
2016-11-07T14:00:00Z;-5,104870e-02;-0,39955535;-0,232846759
2016-11-07T15:00:00Z;-2,506370e-02;-0,39979013;-0,258973376
2016-11-07T16:00:00Z;-7,038516e-02;-0,30924048;-0,223031633
2016-11-07T17:00:00Z;-3,618146e-02;-0,39593571;-0,244578879
2016-11-07T18:00:00Z;-5,517333e-02;-0,51704400;-0,258307951
2016-11-07T19:00:00Z;-7,004002e-02;-0,34994590;-0,201938171
2016-11-07T20:00:00Z;-1,020734e-01;-0,38864268;-0,162277398
2016-11-07T21:00:00Z;-6,477654e-02;-0,33814644;-0,193430603
2016-11-07T22:00:00Z;-2,351390e-02;-0,43266630;-0,253882895
2016-11-07T23:00:00Z;-1,145817e-01;-0,39596815;-0,166536453
2016-11-08T00:00:00Z; 5,665575e-02;-0,36993295;-0,282092798
2016-11-08T01:00:00Z;-5,845406e-02;-0,41755802;-0,145037490
2016-11-08T02:00:00Z;-1,253445e-01;-0,30365440;-0,179612360
2016-11-08T03:00:00Z;-4,478606e-02;-0,24874687;-0,267302699
2016-11-08T04:00:00Z;-1,166212e-01;-0,24913536;-0,168314209
2016-11-08T05:00:00Z;-7,296538e-02;-0,44864543;-0,123820845
2016-11-08T06:00:00Z; 1,287333e-02;-0,23832426;-0,247914091
2016-11-08T07:00:00Z;-9,274325e-02;-0,42606548;-0,228940394
2016-11-08T08:00:00Z;-8,203572e-02;-0,29422609;-0,194923361
2016-11-08T09:00:00Z; 1,081697e-01;-0,63332863;-0,420633374
2016-11-08T10:00:00Z;-1,575032e-01;-0,34497245;-0,134066651
2016-11-08T11:00:00Z; 1,515149e-02;-0,34594174;-0,255243362
2016-11-08T12:00:00Z;-1,624072e-03;-0,30452646;-0,230841075
2016-11-08T13:00:00Z;-9,051706e-02;-0,38681124;-0,171522142
2016-11-08T14:00:00Z;-1,218949e-01;-0,34391782;-0,257995201
2016-11-08T15:00:00Z;-1,021344e-01;-0,38997088;-0,155839038
2016-11-08T16:00:00Z;-2,108648e-02;-0,34674739;-0,228085145
2016-11-08T17:00:00Z;-6,687658e-02;-0,31741237;-0,215347136
2016-11-08T18:00:00Z;-1,214676e-03;-0,36925006;-0,207994598
2016-11-08T19:00:00Z;-4,682848e-03;-0,37602173;-0,207879685
2016-11-08T20:00:00Z; 3,473487e-02;-0,43572975;-0,305862411
2016-11-08T21:00:00Z; 2,038900e-02;-0,36754364;-0,246849606
2016-11-08T22:00:00Z;-1,002666e-02;-0,46638473;-0,220552911
2016-11-08T23:00:00Z; 1,573222e-02;-0,38899440;-0,184526431
2016-11-09T00:00:00Z;-1,088892e-01;-0,14716972;-0,128452746
2016-11-09T01:00:00Z;-8,342754e-02;-0,31033509;-0,197492041
2016-11-09T02:00:00Z;-3,655989e-02;-0,20443379;-0,265009987
2016-11-09T03:00:00Z;-7,303893e-02;-0,16713117;-0,232312009
2016-11-09T04:00:00Z;-1,117073e-01;-0,16604834;-0,246067023
2016-11-09T05:00:00Z;-2,104174e-02;-0,21246020;-0,251947407
2016-11-09T06:00:00Z;-8,787001e-03;-0,21647380;-0,231777534
2016-11-09T07:00:00Z;-1,189609e-01;-0,37090133;-0,203864423
2016-11-09T08:00:00Z;-1,490608e-01;-0,19325003;-0,161330004
2016-11-09T09:00:00Z;-1,660373e-01;-0,18192548;-0,189470146
2016-11-09T10:00:00Z;-2,382926e-01;-0,44046942;-0,170183933
2016-11-09T11:00:00Z;-6,933499e-02;-0,34559267;-0,234659593
2016-11-09T12:00:00Z;-5,671970e-02;-0,35109875;-0,207184242
2016-11-09T13:00:00Z;-7,384993e-03;-0,34048347;-0,275393404
2016-11-09T14:00:00Z;-7,758658e-02;-0,34035339;-0,251842591
2016-11-09T15:00:00Z; 1,378027e-02;-0,31394297;-0,288944723
2016-11-09T16:00:00Z;-2,774663e-02;-0,28598512;-0,229047473
2016-11-09T17:00:00Z;-2,195906e-03;-0,34559408;-0,275502855
2016-11-09T18:00:00Z;-1,095196e-02;-0,45932162;-0,221815034
2016-11-09T19:00:00Z;-2,342169e-02;-0,41685992;-0,159042629
2016-11-09T20:00:00Z;-3,440692e-02;-0,35964157;-0,180641839
2016-11-09T21:00:00Z;-8,794843e-02;-0,35348799;-0,277153293
2016-11-09T22:00:00Z;-1,599967e-01;-0,33854570; 0,010000960
2016-11-09T23:00:00Z; 8,710773e-03;-0,37308000;-0,266736955
2016-11-10T00:00:00Z;-2,128615e-01;-0,29340214;-0,018689462
2016-11-10T01:00:00Z;-1,055770e-01;-0,24382849;-0,142170915
2016-11-10T02:00:00Z;-4,276161e-02;-0,35206608;-0,215296253
2016-11-10T03:00:00Z;-4,837103e-02;-0,57304135;-0,352315988
